train_sumneg_G_resp_6005,train_sumneg_entropy_diff_norm_q_avg_6005,train_sumneg_binary_or_ternary_introduced_6005
-9.491944401,1.700460038,-1.716134746
-7.649295427,-0.572058503,-1.576534144
-12.45544913,-0.285928923,-1.741002589
-6.043705196,0.943001727,-0.456771453
0.682678343,0.487537652,-1.307265212
-3.184802575,2.38402528,0.23592509
-1.636493477,0.514192323,0.526212207
-9.70113177,2.674822305,-1.866443853
-5.446601533,3.546900052,-1.769789286
-4.05071061,1.494166687,-1.658078986
-3.64879872,2.731097594,0.377933326
-5.259680592,2.243523542,0.053119075
-5.769033545,1.779042217,-0.915078652
0.790292734,-0.863897348,-0.072027448
-2.74711562,0.024691073,-1.593064682
-10.20910624,3.326464609,0.400260308
-2.982104999,0.906832197,-0.919307954
-1.461572145,3.239320026,0.440579384
-2.752632849,0.832596646,-2.915731891
-1.831944023,1.691054482,-1.050129568
-5.95587547,-0.372505315,-0.413469928
-3.432772051,0.737402154,-2.704735784
-9.578618079,0.58020412,-2.889089629
1.26239385,2.670370634,0.529790133
-2.926686684,2.455760263,-2.100352375
-6.730273591,0.396255468,-0.41064708
-0.192197468,2.272822768,0.674197391
-0.585647653,-0.456950142,-1.053932289
-5.831922497,1.799362399,-2.012474323
-2.153761578,1.99870032,1.751215395
-3.7100873,-1.823229032,-2.163979453
-6.5442657,-0.313357668,-1.401238118
-5.06378715,1.211586733,-2.168716601
-4.757967839,2.534838791,0.525017398
-3.048549098,2.318277109,1.47765364
-4.14442355,-0.252087356,-3.892034403
-3.424068852,1.01562682,0.668662
-6.595652019,-0.268993105,-1.528043439
-5.072018332,2.562633381,-2.136388121
-2.608439542,-0.416460476,-2.211715382
-0.479175635,2.194889536,-0.519327671
-9.445325494,1.598388778,-2.368367467
-6.387904627,1.776655867,-1.642280171
-2.349725969,2.449198843,-2.131808146
-5.656516033,-0.329461483,-1.467830909
-5.770297952,2.039700438,-1.804780354
-7.574968864,1.618906339,-3.899177316